QDM Type,Data Element Valueset,Attribute,Attribute Valueset,Measure
QDM::DiagnosticStudyPerformed,2.16.840.1.113883.3.526.3.1134,relevantPeriod,,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1174,authorDatetime,,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1184,authorDatetime,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1090,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1090,relevantPeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,severity,,CMS145v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.371,relevantPeriod,,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1174,negationRationale,2.16.840.1.113883.3.526.3.1009,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1184,negationRationale,2.16.840.1.113883.3.526.3.1009,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1174,negationRationale,2.16.840.1.113883.3.526.3.1009,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1184,negationRationale,2.16.840.1.113883.3.526.3.1009,CMS145v7
QDM::PhysicalExamPerformed,8867-4,relevantPeriod,,CMS145v7
QDM::PhysicalExamPerformed,8867-4,result,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.366,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.412,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.362,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.370,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1177,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.403,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,severity,2.16.840.1.113883.3.526.3.1092,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,severity,2.16.840.1.113883.3.526.3.1092,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1091,relevantPeriod,,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1174,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1184,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1174,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1184,negationRationale,2.16.840.1.113883.3.526.3.1007,CMS145v7
QDM::MedicationActive,2.16.840.1.113883.3.526.3.1174,relevantPeriod,,CMS145v7
QDM::MedicationActive,2.16.840.1.113883.3.526.3.1184,relevantPeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.367,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.368,prevalencePeriod,,CMS145v7
QDM::AllergyIntolerance,2.16.840.1.113883.3.526.3.1493,prevalencePeriod,,CMS145v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1178,prevalencePeriod,,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1174,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1184,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1174,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1184,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS145v7
QDM::DeviceApplied,2.16.840.1.113883.3.526.3.1193,relevantPeriod,,CMS145v7
QDM::MedicationOrder,2.16.840.1.113883.3.526.3.1174,negationRationale,2.16.840.1.113883.3.526.3.1177,CMS145v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1026,relevantPeriod,,CMS157v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1010,prevalencePeriod,,CMS157v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1027,relevantPeriod,,CMS157v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS157v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1028,authorDatetime,,CMS157v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1028,result,2.16.840.1.113883.3.526.3.1028,CMS157v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1028,result,,CMS157v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1026,relevantPeriod,,CMS157v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1010,prevalencePeriod,,CMS157v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.526.3.1027,relevantPeriod,,CMS157v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS157v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1028,authorDatetime,,CMS157v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1028,result,2.16.840.1.113883.3.526.3.1028,CMS157v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1028,result,,CMS157v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS149v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1012,relevantPeriod,,CMS149v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1012,relevantPeriod,,CMS149v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1014,relevantPeriod,,CMS149v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1008,relevantPeriod,,CMS149v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.1005,prevalencePeriod,,CMS149v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1492,relevantPeriod,,CMS149v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS149v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.1332,relevantPeriod,,CMS149v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1023,relevantPeriod,,CMS149v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1006,authorDatetime,,CMS149v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1006,result,,CMS149v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS149v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1006,result,2.16.840.1.113883.3.526.3.1006,CMS149v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.1332,authorDatetime,,CMS149v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1006,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS149v7
QDM::AssessmentPerformed,2.16.840.1.113883.3.526.3.1006,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS149v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.1332,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS149v7
QDM::InterventionPerformed,2.16.840.1.113883.3.526.3.1332,negationRationale,2.16.840.1.113883.3.526.3.1008,CMS149v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1011,relevantPeriod,,CMS149v7
QDM::LaboratoryTestPerformed,75622-1,relevantPeriod,,CMS349v1
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1023,relevantPeriod,,CMS349v1
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1022,relevantPeriod,,CMS349v1
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS349v1
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1024,relevantPeriod,,CMS349v1
QDM::Diagnosis,2.16.840.1.113762.1.4.1056.54,prevalencePeriod,,CMS349v1
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1025,relevantPeriod,,CMS349v1
QDM::LaboratoryTestPerformed,2.16.840.1.113762.1.4.1056.50,relevantPeriod,,CMS349v1
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS127v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS127v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1014,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1025,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1023,relevantPeriod,,CMS127v7
QDM::ImmunizationAdministered,2.16.840.1.113883.3.464.1003.110.12.1027,authorDatetime,,CMS127v7
QDM::ProcedurePerformed,2.16.840.1.113883.3.464.1003.110.12.1034,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1240,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1012,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.11.1065,relevantPeriod,,CMS127v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS137v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS137v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1002,relevantPeriod,,CMS137v7
QDM::Diagnosis,2.16.840.1.113883.3.464.1003.106.12.1001,prevalencePeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.106.12.1005,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1010,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1059,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1004,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1006,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1007,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS137v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS137v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1002,relevantPeriod,,CMS137v7
QDM::Diagnosis,2.16.840.1.113883.3.464.1003.106.12.1001,prevalencePeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.106.12.1005,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1010,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1059,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1004,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1006,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1007,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS137v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS137v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1002,relevantPeriod,,CMS137v7
QDM::Diagnosis,2.16.840.1.113883.3.464.1003.106.12.1001,prevalencePeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.106.12.1005,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1010,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1059,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1004,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1006,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1007,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS137v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS137v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1002,relevantPeriod,,CMS137v7
QDM::Diagnosis,2.16.840.1.113883.3.464.1003.106.12.1001,prevalencePeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.106.12.1005,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1010,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1059,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1004,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1006,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1007,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS137v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS137v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1002,relevantPeriod,,CMS137v7
QDM::Diagnosis,2.16.840.1.113883.3.464.1003.106.12.1001,prevalencePeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.106.12.1005,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1010,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1059,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1004,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1006,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1007,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS137v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS137v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1002,relevantPeriod,,CMS137v7
QDM::Diagnosis,2.16.840.1.113883.3.464.1003.106.12.1001,prevalencePeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.106.12.1005,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.526.3.1496,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1010,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1059,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1004,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1006,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1007,relevantPeriod,,CMS137v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS155v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS155v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS155v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.378,prevalencePeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1024,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1022,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1012,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1012,result,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1014,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1014,result,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1015,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1015,result,,CMS155v7
QDM::InterventionPerformed,2.16.840.1.113883.3.464.1003.195.12.1003,relevantPeriod,,CMS155v7
QDM::InterventionPerformed,2.16.840.1.113883.3.464.1003.118.12.1035,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1026,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1027,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1012,result,2.16.840.1.113883.3.464.1003.121.12.1012,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS155v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS155v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS155v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.378,prevalencePeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1024,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1022,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1012,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1012,result,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1014,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1014,result,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1015,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1015,result,,CMS155v7
QDM::InterventionPerformed,2.16.840.1.113883.3.464.1003.195.12.1003,relevantPeriod,,CMS155v7
QDM::InterventionPerformed,2.16.840.1.113883.3.464.1003.118.12.1035,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1026,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1027,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1012,result,2.16.840.1.113883.3.464.1003.121.12.1012,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS155v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS155v7
QDM::InterventionPerformed,2.16.840.1.113762.1.4.1108.15,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1016,relevantPeriod,,CMS155v7
QDM::Diagnosis,2.16.840.1.113883.3.526.3.378,prevalencePeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1024,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1022,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1012,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1012,result,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1014,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1014,result,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1015,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1015,result,,CMS155v7
QDM::InterventionPerformed,2.16.840.1.113883.3.464.1003.195.12.1003,relevantPeriod,,CMS155v7
QDM::InterventionPerformed,2.16.840.1.113883.3.464.1003.118.12.1035,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1026,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1027,relevantPeriod,,CMS155v7
QDM::PhysicalExamPerformed,2.16.840.1.113883.3.464.1003.121.12.1012,result,2.16.840.1.113883.3.464.1003.121.12.1012,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.464.1003.101.12.1001,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428361000124107,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,relevantPeriod,,CMS155v7
QDM::EncounterPerformed,2.16.840.1.113883.3.666.5.307,dischargeDisposition,428371000124100,CMS155v7
QDM::InterventionOrder,2.16.840.1.113762.1.4.1108.15,authorDatetime,,CMS155v7
